isoname	gene	tpm
DHRS4L2-211	DHRS4L2	0.602203
DHX15-201	DHX15	286.7
DHX16-201	DHX16	9.28888
DHX16-202	DHX16	48.1621
DHX29-201	DHX29	28.7376
DHX29-205	DHX29	1.33939
DHX30-201	DHX30	15.0269
DHX30-205	DHX30	23.3487
DHX30-207	DHX30	34.0831
DHX30-215	DHX30	0.206184
DHX35-201	DHX35	16.3618
DHX35-202	DHX35	0.225481
DHX35-203	DHX35	0.476674
DHX35-206	DHX35	3.2181
DHX37-201	DHX37	27.0628
DHX37-205	DHX37	0.332451
DHX38-201	DHX38	50.4337
DHX38-208	DHX38	0.937117
DHX38-209	DHX38	0.257054
DHX58-207	DHX58	2.21987
DHX8-201	DHX8	24.3637
DHX8-202	DHX8	15.6464
DHX9-201	DHX9	314.057
DIABLO-201	DIABLO	1.7258
DIABLO-203	DIABLO	3.40465
DIABLO-204	DIABLO	0.870576
DIABLO-205	DIABLO	0.267309
DIABLO-206	DIABLO	0.883034
DIABLO-207	DIABLO	51.7527
DIAPH1-201	DIAPH1	0.507208
DICER1-201	DICER1	5.32949
DICER1-210	DICER1	1.11064
DICER1-211	DICER1	0
DICER1-213	DICER1	1.49819
DIDO1-201	DIDO1	22.0024
DIS3-201	DIS3	3.46329
DIS3-202	DIS3	13.6176
DIS3L2-202	DIS3L2	5.22191
DISP1-201	DISP1	0.688088
DISP1-213	DISP1	1.8302
DKC1-201	DKC1	178.647
DKC1-204	DKC1	31.3009
DKC1-213	DKC1	7.5773
DLAT-201	DLAT	39.4889
DLAT-202	DLAT	0.201508
DLD-201	DLD	20.623
DLD-204	DLD	13.3428
DLD-205	DLD	32.3213
DLG1-201	DLG1	4.26236
DLG1-202	DLG1	0
DLG1-203	DLG1	0
DLG1-204	DLG1	0.386431
DLG1-205	DLG1	0
DLG1-207	DLG1	0.773213
DLG1-208	DLG1	0
DLG1-209	DLG1	0
DLG1-210	DLG1	0.845688
DLG1-212	DLG1	0
DLG1-213	DLG1	0
DLG1-217	DLG1	0
DLG1-218	DLG1	0
DLG1-219	DLG1	0
DLG1-220	DLG1	0
DLG1-231	DLG1	0
DLG1-232	DLG1	1.06203
DLG1-233	DLG1	0.152258
DLG1-235	DLG1	0
DLG1-236	DLG1	0.351271
DLG1-237	DLG1	0
DLG1-240	DLG1	2.2218
DLG1-241	DLG1	0
DLG1-246	DLG1	0
DLG1-247	DLG1	2.30855
DLG1-249	DLG1	4.21643
DLG1-250	DLG1	1.10266e-06
DLG1-253	DLG1	0.94572
DLG1-256	DLG1	1.27786
DLG1-257	DLG1	0.140735
DLG1-258	DLG1	0.165214
DLG1-260	DLG1	0
DLG1-262	DLG1	1.77276
DLG1-264	DLG1	0
DLG1-266	DLG1	0.13591
DLG1-267	DLG1	0
DLG1-271	DLG1	0
DLG2-201	DLG2	0
DLG2-202	DLG2	0
DLG2-203	DLG2	0.051917
DLG2-207	DLG2	0
DLG2-208	DLG2	0
DLG2-209	DLG2	0
DLG2-211	DLG2	0.0122278
DLG2-218	DLG2	0
DLG2-230	DLG2	0
DLG2-231	DLG2	0
DLG2-232	DLG2	0.0574787
DLGAP4-201	DLGAP4	0
DLGAP4-202	DLGAP4	5.66898
DLGAP4-204	DLGAP4	0
DLGAP4-206	DLGAP4	8.70344
DLGAP5-201	DLGAP5	53.3311
DLL4-201	DLL4	0.0155302
DLST-202	DLST	40.1134
DMAC2-201	DMAC2	26.7379
DMAC2-202	DMAC2	1.79451
DMAC2-203	DMAC2	0
DMAC2-204	DMAC2	6.22477
DMAC2-205	DMAC2	0.264476
DMAC2-206	DMAC2	1.83345
DMAC2-208	DMAC2	10.9572
DMAC2-209	DMAC2	4.25264
DMAC2-210	DMAC2	2.55072
DMAC2-214	DMAC2	0
DMAC2-215	DMAC2	0.331209
DMD-203	DMD	0
DMD-207	DMD	0
DMD-229	DMD	0
DMD-230	DMD	0
DMRTA1-201	DMRTA1	0
DMXL1-201	DMXL1	8.1192
DMXL1-215	DMXL1	1.45922
DNAAF4-201	DNAAF4	0
DNAAF4-203	DNAAF4	1.48871
DNAAF4-204	DNAAF4	0.142077
DNAAF5-201	DNAAF5	22.8978
DNAAF5-203	DNAAF5	0
DNAAF5-205	DNAAF5	13.2207
DNAH10-201	DNAH10	0
DNAH10-210	DNAH10	0.930228
DNAH10-211	DNAH10	0.120014
DNAH12-208	DNAH12	0.00980252
DNAH5-201	DNAH5	0
DNAH6-201	DNAH6	0.111166
DNAJA1-201	DNAJA1	499.07
DNAJA2-201	DNAJA2	27.3957
DNAJA3-201	DNAJA3	27.066
DNAJA3-202	DNAJA3	38.9669
DNAJB1-201	DNAJB1	135.416
DNAJB11-201	DNAJB11	64.1605
DNAJB2-201	DNAJB2	6.11424
DNAJB2-202	DNAJB2	18.0977
DNAJB2-203	DNAJB2	0
DNAJB2-204	DNAJB2	1.85444
DNAJB2-205	DNAJB2	3.43077
DNAJB2-206	DNAJB2	0
DNAJB2-207	DNAJB2	0.722157
DNAJB4-201	DNAJB4	5.2968
DNAJB4-202	DNAJB4	0.819217
DNAJB7-201	DNAJB7	1.70448
DNAJB8-201	DNAJB8	0
DNAJC1-202	DNAJC1	9.11652
DNAJC10-201	DNAJC10	2.70673
DNAJC10-210	DNAJC10	17.6597
DNAJC11-201	DNAJC11	4.08628
DNAJC11-202	DNAJC11	61.546
DNAJC11-203	DNAJC11	19.7129
DNAJC13-201	DNAJC13	24.1699
DNAJC17-201	DNAJC17	8.38721
DNAJC17-205	DNAJC17	1.4844
DNAJC17-206	DNAJC17	0.750872
DNAJC17-208	DNAJC17	2.76404
DNAJC18-201	DNAJC18	5.00286
DNAJC18-210	DNAJC18	0
DNAJC18-212	DNAJC18	0
DNAJC3-201	DNAJC3	1.03371
DNAJC3-202	DNAJC3	16.3997
DNAJC6-201	DNAJC6	0.57506
DNAJC6-202	DNAJC6	0
DNAJC6-203	DNAJC6	3.16577
DNAJC7-203	DNAJC7	69.1496
DNAJC7-227	DNAJC7	1.36098
DNAJC7-232	DNAJC7	9.82237
DNAJC8-201	DNAJC8	160.891
DNAJC9-201	DNAJC9	134.597
DNASE2-201	DNASE2	15.7955
DNMT1-201	DNMT1	35.1126
DNMT1-202	DNMT1	104.453
DNPEP-201	DNPEP	4.61984
DNPEP-202	DNPEP	2.37923
DNPEP-206	DNPEP	0
DNPEP-209	DNPEP	0.586462
DNPEP-216	DNPEP	0
DNPEP-217	DNPEP	7.03821
DNPEP-218	DNPEP	7.65167
DNPEP-220	DNPEP	19.3859
DNPH1-201	DNPH1	15.9477
DNPH1-204	DNPH1	0
DNTT-201	DNTT	147.852
DNTT-202	DNTT	19.6391
DNTTIP2-202	DNTTIP2	13.2871
DOCK10-202	DOCK10	26.3244
DOCK2-210	DOCK2	111.574
DOCK3-201	DOCK3	3.5876
DOCK4-201	DOCK4	0
DOCK6-201	DOCK6	0.0205464
DOCK6-207	DOCK6	0.0188697
DOCK7-201	DOCK7	0.111318
DOCK7-202	DOCK7	1.78496
DOCK7-204	DOCK7	8.10833e-07
DOCK7-211	DOCK7	0
DOCK7-217	DOCK7	0
DOCK7-218	DOCK7	9.77079
DOCK7-219	DOCK7	0.543317
DOCK7-231	DOCK7	4.88154
DPF1-201	DPF1	0.402674
DPF1-202	DPF1	0
DPF1-204	DPF1	0
DPF1-206	DPF1	0
DPF1-209	DPF1	3.73252
DPF1-217	DPF1	1.01855
DPF2-201	DPF2	48.3398
DPF2-202	DPF2	0.284824
DPF2-205	DPF2	13.0563
DPF2-208	DPF2	3.03654
DPF3-210	DPF3	3.79487
DPH3-202	DPH3	9.80713
DPH3-204	DPH3	6.43152
DPH6-201	DPH6	5.69779
DPH6-202	DPH6	0.242102
DPH6-209	DPH6	12.5529
DPP3-205	DPP3	5.34758
DPP3-209	DPP3	1.14899
DPP3-211	DPP3	2.02258
DPP3-215	DPP3	56.2254
DPP9-201	DPP9	18.2291
DPP9-203	DPP9	2.40322
DPP9-214	DPP9	4.27711
DPY19L3-201	DPY19L3	4.31523
DPY19L3-205	DPY19L3	0.647494
DPY19L3-207	DPY19L3	2.83544
DPY30-201	DPY30	2.29325
DPYSL2-201	DPYSL2	48.2209
DPYSL2-204	DPYSL2	3.05306
DPYSL2-206	DPYSL2	1.55814
DRAM2-210	DRAM2	4.57243
DRAP1-201	DRAP1	106.863
DRAP1-202	DRAP1	0.657298
DRAP1-204	DRAP1	1.04178
DRAP1-205	DRAP1	0
DRAP1-208	DRAP1	3.14602
DRG1-201	DRG1	119.077
DRG2-201	DRG2	30.6988
DRG2-202	DRG2	1.2172
DSCC1-201	DSCC1	60.6239
DSEL-201	DSEL	0.222273
DSN1-201	DSN1	0.595489
DSN1-202	DSN1	0
DSN1-203	DSN1	28.2158
DSN1-205	DSN1	0
DSN1-206	DSN1	7.12409
DSN1-207	DSN1	11.736
DSTN-201	DSTN	2.86717
DSTN-202	DSTN	44.9373
DTL-201	DTL	80.1388
DTL-206	DTL	2.89369
DTX3L-201	DTX3L	32.75
DUOX1-201	DUOX1	0.0503044
DUOX1-212	DUOX1	0.131367
DUS3L-201	DUS3L	30.1182
DUSP11-201	DUSP11	24.9912
DUSP3-201	DUSP3	8.41568
DUSP3-202	DUSP3	0.658046
DUT-202	DUT	41.8834
DVL2-201	DVL2	33.6092
DVL2-209	DVL2	1.48588
DVL2-210	DVL2	12.4185
DYM-201	DYM	10.636
DYM-203	DYM	13.7807
DYM-220	DYM	1.35163
DYNC1H1-201	DYNC1H1	30.0285
DYNC1I2-201	DYNC1I2	23.8758
DYNC1I2-202	DYNC1I2	2.71407
DYNC1I2-204	DYNC1I2	4.71426
DYNC1I2-207	DYNC1I2	2.45791
DYNC1LI1-201	DYNC1LI1	26.5739
DYNC1LI1-204	DYNC1LI1	0.455536
DYNC2H1-202	DYNC2H1	1.38929
DYNC2H1-205	DYNC2H1	0.868012
DYNC2H1-209	DYNC2H1	0.0498713
DYNC2H1-211	DYNC2H1	0.764497
DYNLL1-201	DYNLL1	462.462
DYNLL2-201	DYNLL2	48.0052
DYRK1A-203	DYRK1A	0
DYRK1A-210	DYRK1A	15.0504
DYRK1A-219	DYRK1A	0.494578
DYRK1A-223	DYRK1A	22.5927
DYSF-201	DYSF	0
DYSF-202	DYSF	0
DYSF-203	DYSF	0
DYSF-204	DYSF	0
DYSF-205	DYSF	0
DYSF-206	DYSF	0.124166
DYSF-207	DYSF	0
DYSF-208	DYSF	0
DYSF-209	DYSF	0.0403807
DYSF-210	DYSF	0
DYSF-211	DYSF	0
E2F2-201	E2F2	33.4072
E2F3-201	E2F3	17.1472
E2F3-202	E2F3	32.1442
E2F3-203	E2F3	0.0838877
EAF2-201	EAF2	8.0738
EAF2-202	EAF2	0.310339
EAF2-204	EAF2	0.980707
EAF2-205	EAF2	0.197434
EARS2-201	EARS2	11.6884
EARS2-206	EARS2	0.186101
EARS2-209	EARS2	0.265026
EBAG9-201	EBAG9	0.740414
EBAG9-206	EBAG9	4.36329
EBAG9-207	EBAG9	0
EBAG9-208	EBAG9	0
EBNA1BP2-201	EBNA1BP2	167.22
EBNA1BP2-202	EBNA1BP2	1.23316
EBP-202	EBP	1.88551
EBP-203	EBP	9.21003
EBP-205	EBP	124.099
ECH1-201	ECH1	94.4804
ECH1-216	ECH1	0
ECHDC1-207	ECHDC1	6.47436
ECHDC1-209	ECHDC1	3.26331
ECHDC1-222	ECHDC1	0.83188
ECI2-201	ECI2	75.0708
ECI2-202	ECI2	27.5011
ECRG4-201	ECRG4	0.375414
ECRG4-202	ECRG4	0
ECRG4-203	ECRG4	0
EDC3-201	EDC3	23.2723
EDC4-201	EDC4	63.283
EDEM3-201	EDEM3	23.9714
EDEM3-202	EDEM3	4.02748
EEF1A1-201	EEF1A1	651.486
EEF1B2-201	EEF1B2	53.3944
EEF1D-201	EEF1D	9.03478
EEF1D-204	EEF1D	0
EEF1D-207	EEF1D	0
EEF1D-218	EEF1D	42.5485
EEF1D-238	EEF1D	1.32146
EEF1D-246	EEF1D	6.80107
EEF1E1-201	EEF1E1	66.09
EEF1E1-202	EEF1E1	5.09473
EEF1E1-203	EEF1E1	3.09004
EEF1E1-204	EEF1E1	2.47655
EEF1E1-205	EEF1E1	27.0651
EEF1E1-BLOC1S5-201	EEF1E1-BLOC1S5	1.64355
EEF1G-201	EEF1G	2137.93
EEF2-201	EEF2	738.673
EEFSEC-201	EEFSEC	15.3213
EEFSEC-202	EEFSEC	0.529815
EFL1-201	EFL1	32.6178
EFL1-202	EFL1	0.508119
EFNA1-201	EFNA1	1.28631
EFNA1-202	EFNA1	2.37401
EFTUD2-201	EFTUD2	69.5441
EFTUD2-202	EFTUD2	7.68512
EHBP1-201	EHBP1	6.73426
EHBP1-202	EHBP1	0
EHBP1-203	EHBP1	4.78925
EHD1-201	EHD1	1.14078
EHD1-213	EHD1	19.47
EHD4-201	EHD4	6.95566
EHMT1-203	EHMT1	15.0275
EHMT1-236	EHMT1	0.000161363
EHMT2-201	EHMT2	6.42813e-05
EHMT2-202	EHMT2	9.1398
EHMT2-203	EHMT2	24.5404
EHMT2-204	EHMT2	4.73019
EI24-201	EI24	79.5847
EI24-202	EI24	0.876119
EI24-204	EI24	1.08274
EI24-206	EI24	28.3718
EI24-211	EI24	1.80742
EIF1-203	EIF1	209.682
EIF1-207	EIF1	111.577
EIF1AX-201	EIF1AX	46.2056
EIF1AX-202	EIF1AX	66.6271
EIF1AY-201	EIF1AY	64.8823
EIF1AY-202	EIF1AY	20.3885
EIF2A-201	EIF2A	34.6542
EIF2A-202	EIF2A	26.7519
EIF2A-203	EIF2A	3.42992
EIF2A-206	EIF2A	6.84592
EIF2A-214	EIF2A	17.4511
EIF2AK2-201	EIF2AK2	14.5022
EIF2AK2-204	EIF2AK2	3.26264
EIF2B1-201	EIF2B1	70.3337
EIF2B2-201	EIF2B2	13.0899
EIF2B4-201	EIF2B4	32.3556
EIF2B4-205	EIF2B4	21.193
EIF2B4-206	EIF2B4	1.24817
EIF2B4-210	EIF2B4	0.688559
EIF2B4-211	EIF2B4	0.244401
EIF2B5-216	EIF2B5	5.23404
EIF2B5-226	EIF2B5	23.2603
EIF2B5-231	EIF2B5	0.362087
EIF2D-201	EIF2D	72.211
EIF2D-202	EIF2D	0
EIF2S1-201	EIF2S1	55.4193
EIF2S2-201	EIF2S2	146.223
EIF2S3-201	EIF2S3	137.418
EIF2S3-202	EIF2S3	0
EIF3A-201	EIF3A	63.9279
EIF3B-201	EIF3B	56.8639
EIF3C-201	EIF3C	483.062
EIF3C-204	EIF3C	0.230014
EIF3C-212	EIF3C	174.373
EIF3CL-201	EIF3CL	0
EIF3D-201	EIF3D	277.388
EIF3E-201	EIF3E	47.8002
EIF3E-206	EIF3E	429.312
EIF3E-209	EIF3E	10.5789
EIF3F-207	EIF3F	0.320921
EIF3G-201	EIF3G	215.15
EIF3G-206	EIF3G	0.365887
EIF3G-208	EIF3G	1.08737
EIF3H-201	EIF3H	14.0878
EIF3H-209	EIF3H	6.30005
EIF3H-212	EIF3H	308.705
EIF3I-202	EIF3I	325.349
EIF3J-201	EIF3J	58.0602
EIF3J-202	EIF3J	33.5606
EIF3K-201	EIF3K	266.636
EIF3K-203	EIF3K	1.75653
EIF3L-203	EIF3L	1.83111
EIF3L-214	EIF3L	353.353
EIF3M-208	EIF3M	8.59625
EIF3M-213	EIF3M	0.934683
EIF4A1-201	EIF4A1	941.299
EIF4A1-211	EIF4A1	32.9615
EIF4A2-201	EIF4A2	115.589
EIF4A2-205	EIF4A2	78.6117
EIF4A3-206	EIF4A3	0.411526
EIF4A3-208	EIF4A3	169.433
EIF4B-201	EIF4B	285.187
EIF4B-202	EIF4B	5.75574
EIF4B-203	EIF4B	84.5328
EIF4E-203	EIF4E	8.95582
EIF4E-208	EIF4E	52.5499
EIF4E2-201	EIF4E2	46.0661
EIF4E2-202	EIF4E2	17.6928
EIF4E2-206	EIF4E2	0
EIF4E2-207	EIF4E2	3.46478
EIF4E2-209	EIF4E2	2.20482
EIF4EBP1-201	EIF4EBP1	19.5185
EIF4EBP2-201	EIF4EBP2	66.1022
EIF4ENIF1-201	EIF4ENIF1	21.5838
EIF4ENIF1-202	EIF4ENIF1	2.33584
EIF4ENIF1-205	EIF4ENIF1	3.6296
EIF4ENIF1-208	EIF4ENIF1	0.381238
EIF4G1-201	EIF4G1	1.4137
EIF4G1-202	EIF4G1	34.7329
EIF4G1-204	EIF4G1	0.388106
EIF4G1-206	EIF4G1	10.1152
EIF4G1-207	EIF4G1	44.8164
EIF4G1-209	EIF4G1	4.22221
EIF4G1-216	EIF4G1	0
EIF4G2-201	EIF4G2	428.865
EIF4G2-202	EIF4G2	88.5459
EIF4H-201	EIF4H	68.0217
EIF5-201	EIF5	15.247
EIF5A-201	EIF5A	9.35303
EIF5A-202	EIF5A	826.628
EIF5A-207	EIF5A	31.079
EIF5A-209	EIF5A	23.4452
EIF5B-201	EIF5B	35.3414
EIF5B-205	EIF5B	61.4674
EIF6-201	EIF6	2.56049
EIF6-202	EIF6	0.351528
ELAC2-201	ELAC2	6.92848
ELAC2-202	ELAC2	45.8938
ELAC2-218	ELAC2	0
ELAVL1-201	ELAVL1	34.9509
ELL-201	ELL	7.65992
ELL-202	ELL	0
ELMO1-201	ELMO1	37.1515
ELMO2-201	ELMO2	29.0427
ELMO2-202	ELMO2	0.189475
ELMO2-203	ELMO2	2.60707
ELMO2-207	ELMO2	0
ELOA-201	ELOA	0.432545
ELOA-203	ELOA	32.7815
ELOB-202	ELOB	4.37615
ELOB-203	ELOB	48.329
ELOC-201	ELOC	58.0944
ELOC-203	ELOC	10.1704
ELOF1-201	ELOF1	61.0629
ELOF1-204	ELOF1	2.42635
ELOF1-207	ELOF1	1.06003
ELOVL1-201	ELOVL1	40.2983
ELOVL1-202	ELOVL1	1.72636
ELP1-201	ELP1	0
ELP1-204	ELP1	22.1363
ELP1-205	ELP1	4.03292
ELP1-210	ELP1	0.575634
ELP1-212	ELP1	10.6739
ELP1-214	ELP1	2.70007
ELP1-218	ELP1	1.78031
ELP1-231	ELP1	1.47897
ELP1-232	ELP1	0.360692
ELP1-235	ELP1	0.0801651
ELP1-245	ELP1	0
ELP1-246	ELP1	1.4892
ELP2-201	ELP2	0
ELP2-202	ELP2	18.061
ELP2-203	ELP2	7.1516
ELP2-205	ELP2	6.91329
ELP2-210	ELP2	20.8906
ELP2-221	ELP2	2.73127
EMC2-201	EMC2	11.9237
EMC2-207	EMC2	0
EMC3-201	EMC3	19.4379
EMC4-202	EMC4	95.9241
EMC7-201	EMC7	66.0968
EMC7-202	EMC7	1.55676
EMC8-201	EMC8	30.32
EMC8-203	EMC8	8.17203
EMD-202	EMD	37.6341
ENO1-201	ENO1	1680.04
ENO1-216	ENO1	0.253317
ENO2-201	ENO2	96.3232
ENO2-209	ENO2	5.02127
ENO2-214	ENO2	1.86056
ENO3-201	ENO3	8.52694
ENO3-209	ENO3	0
ENO3-211	ENO3	2.28624
ENO3-212	ENO3	0
ENO3-213	ENO3	5.52188
ENOPH1-201	ENOPH1	26.2375
ENPP1-206	ENPP1	0.198339
ENPP1-207	ENPP1	0.183204
EPB41-201	EPB41	0
EPB41-202	EPB41	5.80159
EPB41-203	EPB41	3.64245
EPB41-204	EPB41	3.36015
EPB41-205	EPB41	1.02273
EPB41-207	EPB41	0.943252
EPB41-213	EPB41	0.591039
EPB41-214	EPB41	0
EPB41-215	EPB41	0.615694
EPB41-216	EPB41	0
EPB41-218	EPB41	0
EPB41-220	EPB41	0
EPB41-221	EPB41	0.0741149
EPB41-223	EPB41	0.0267259
EPB41-224	EPB41	0.131427
EPB41-227	EPB41	0.997007
EPB41-229	EPB41	0
EPB41-230	EPB41	0.0987364
EPB41-231	EPB41	0.0410713
EPB41-233	EPB41	55.6711
EPB41-235	EPB41	0.227198
EPB41-236	EPB41	0.378181
EPB41-238	EPB41	0.34355
EPB41-241	EPB41	0
EPB41L2-201	EPB41L2	2.23571
EPB41L2-204	EPB41L2	0
EPB41L2-205	EPB41L2	0.391242
EPB41L2-209	EPB41L2	0.747885
EPB41L2-216	EPB41L2	0
EPB41L2-218	EPB41L2	0
EPB41L2-224	EPB41L2	3.09203
EPB41L2-233	EPB41L2	0.871698
EPB41L4A-201	EPB41L4A	2.60792
EPDR1-201	EPDR1	27.2896
EPDR1-203	EPDR1	2.42349
EPDR1-204	EPDR1	0
EPGN-202	EPGN	0.184155
EPGN-204	EPGN	0
EPGN-205	EPGN	0
EPGN-206	EPGN	0
EPHA10-202	EPHA10	1.02692
EPHA10-203	EPHA10	0
EPHA10-210	EPHA10	0
EPHB4-201	EPHB4	0.305151
EPHB4-202	EPHB4	0.0986048
EPHX2-201	EPHX2	31.159
EPHX2-202	EPHX2	3.3674
EPHX2-204	EPHX2	17.4037
EPHX2-207	EPHX2	0.823944
EPHX2-209	EPHX2	9.37862e-07
EPN1-201	EPN1	22.8643
EPN1-202	EPN1	1.54817
EPN1-203	EPN1	5.02033
EPPK1-201	EPPK1	0.0097548
EPPK1-202	EPPK1	0
EPRS1-201	EPRS1	100.101
EPS15-202	EPS15	0.170854
EPS15-203	EPS15	27.1522
EPS15L1-201	EPS15L1	0
EPS15L1-202	EPS15L1	8.03216
EPS15L1-203	EPS15L1	12.522
EPS15L1-207	EPS15L1	1.60343
ERAP1-201	ERAP1	5.13182
ERAP1-202	ERAP1	67.4487
ERAP2-201	ERAP2	1.4399
ERAP2-202	ERAP2	36.2886
ERAP2-205	ERAP2	1.82079
ERAP2-206	ERAP2	6.28046
ERAP2-208	ERAP2	5.63992
ERBB2-201	ERBB2	0
ERBB2-202	ERBB2	0.539426
ERBB2-203	ERBB2	0
ERBB2-204	ERBB2	2.90214e-10
ERBB2-218	ERBB2	0
ERBB3-201	ERBB3	0
ERBB3-203	ERBB3	0
ERBB3-213	ERBB3	0.396764
ERBB3-214	ERBB3	0
ERBB3-221	ERBB3	0.0238513
ERCC1-202	ERCC1	17.4521
ERCC1-203	ERCC1	5.54116
ERCC1-204	ERCC1	0.437051
ERGIC1-202	ERGIC1	143.676
ERGIC1-203	ERGIC1	0
ERGIC3-202	ERGIC3	143.586
ERGIC3-203	ERGIC3	4.14194
ERGIC3-205	ERGIC3	2.48306
ERGIC3-206	ERGIC3	4.46455
ERGIC3-220	ERGIC3	0
ERH-203	ERH	507.681
ERI1-201	ERI1	20.1122
ERI3-201	ERI3	46.8083
ERI3-202	ERI3	0.651111
ERI3-203	ERI3	1.64666
ERI3-204	ERI3	1.13323
ERI3-207	ERI3	4.39185
ERI3-210	ERI3	2.80088
ERLIN2-204	ERLIN2	10.277
ERO1A-201	ERO1A	38.3257
ERP29-201	ERP29	62.1999
ERP29-203	ERP29	10.3018
ERP44-201	ERP44	17.6189
ESD-201	ESD	4.14409
ESD-202	ESD	229.15
ESF1-201	ESF1	29.5721
ESF1-202	ESF1	12.7519
ESYT1-201	ESYT1	4.96411
ESYT1-202	ESYT1	84.8911
ESYT2-201	ESYT2	4.70386
ESYT2-202	ESYT2	74.667
ESYT2-206	ESYT2	42.9258
ESYT2-207	ESYT2	9.97439
ESYT3-201	ESYT3	0
ESYT3-202	ESYT3	2.47314
ESYT3-207	ESYT3	1.53237
ETF1-201	ETF1	109.203
ETFA-202	ETFA	39.8988
ETFA-203	ETFA	2.77178
ETFA-208	ETFA	10.7465
ETFA-210	ETFA	8.50953
ETFA-215	ETFA	10.024
ETFB-201	ETFB	77.7004
ETFB-202	ETFB	3.38824
ETFB-205	ETFB	0
ETFDH-201	ETFDH	11.7285
ETFDH-206	ETFDH	5.57876
ETNK1-201	ETNK1	37.622
ETNK1-203	ETNK1	1.58504
ETNK1-207	ETNK1	0.178242
ETS1-201	ETS1	37.7023
ETS1-202	ETS1	143.4
EVC2-201	EVC2	0
EVC2-202	EVC2	0
EVC2-203	EVC2	0
EVL-201	EVL	166.616
EVL-202	EVL	2.66495
EVL-203	EVL	51.8847
EVL-207	EVL	9.37658
EVL-210	EVL	0
EVL-214	EVL	7.14689
EVL-216	EVL	8.6115
EVL-222	EVL	10.3871
EWSR1-201	EWSR1	0.225591
EWSR1-204	EWSR1	119.338
EWSR1-206	EWSR1	106.596
EWSR1-207	EWSR1	97.8125
EWSR1-208	EWSR1	0.306996
EXOC1-201	EXOC1	0
EXOC1-202	EXOC1	13.1685
EXOC3-201	EXOC3	22.6867
EXOC3-202	EXOC3	1.96857
EXOC3-210	EXOC3	1.98689
EXOC4-201	EXOC4	36.6306
EXOC4-202	EXOC4	28.9099
EXOC5-201	EXOC5	20.9209
EXOC5-202	EXOC5	14.5096
EXOC5-211	EXOC5	5.40726
EXOC6B-201	EXOC6B	10.2436
EXOC6B-202	EXOC6B	0.728163
EXOC6B-209	EXOC6B	0.285623
EXOC7-201	EXOC7	15.3185
EXOC7-202	EXOC7	7.30195
EXOC7-203	EXOC7	1.53658
EXOC7-205	EXOC7	0.201931
EXOC7-207	EXOC7	1.61189
EXOC7-213	EXOC7	0.496672
EXOC7-216	EXOC7	31.9434
EXOC7-221	EXOC7	20.133
EXOC8-201	EXOC8	19.6268
EXOSC1-201	EXOSC1	0.392441
EXOSC1-202	EXOSC1	28.033
EXOSC1-203	EXOSC1	10.0733
EXOSC1-204	EXOSC1	41.3464
EXOSC1-209	EXOSC1	2.61976
EXOSC2-202	EXOSC2	8.80419
EXOSC2-203	EXOSC2	12.5728
EXOSC2-204	EXOSC2	54.8663
EXOSC2-210	EXOSC2	0
EXOSC2-211	EXOSC2	9.67499
EXOSC4-201	EXOSC4	27.294
EXOSC4-202	EXOSC4	0.922912
EXOSC6-201	EXOSC6	17.203
EXOSC7-201	EXOSC7	81.5707
EXOSC8-202	EXOSC8	99.9878
EXOSC9-201	EXOSC9	73.1804
EXOSC9-202	EXOSC9	58.4383
EXOSC9-211	EXOSC9	0
EXTL2-201	EXTL2	0
EYA3-204	EYA3	1.37409
EZH2-201	EZH2	8.77896
EZH2-202	EZH2	17.2868
EZH2-203	EZH2	75.6014
EZH2-205	EZH2	0.855011
EZH2-208	EZH2	18.4964
EZR-201	EZR	4.8116
EZR-203	EZR	5.27825e-08
F5-201	F5	0
F5-202	F5	0.179193
F8-202	F8	0.0940222
FAAP20-202	FAAP20	16.565
FAAP20-203	FAAP20	2.88756
FAAP20-206	FAAP20	1.62427
FAAP20-207	FAAP20	8.14154
FAAP20-209	FAAP20	3.12327
FAAP20-210	FAAP20	0
FABP5-201	FABP5	433.778
FADS2-201	FADS2	2.99591
FADS2-202	FADS2	233.649
FADS2-203	FADS2	1.50331
FADS2-208	FADS2	7.28942
FADS2-209	FADS2	14.8523
FADS2-210	FADS2	117.085
FAF1-201	FAF1	60.7189
FAF1-202	FAF1	9.5809
FAF2-201	FAF2	39.5647
FAH-201	FAH	0
FAHD2A-201	FAHD2A	5.26913
FAHD2B-201	FAHD2B	20.2479
FAM111A-201	FAM111A	22.5544
FAM114A2-201	FAM114A2	2.76208
FAM114A2-210	FAM114A2	1.69518
FAM120A-201	FAM120A	82.0565
FAM120A-202	FAM120A	1.01835
FAM120A-204	FAM120A	11.6018
FAM13C-201	FAM13C	0
FAM13C-202	FAM13C	0
FAM13C-203	FAM13C	0
FAM13C-204	FAM13C	0
FAM13C-214	FAM13C	0
FAM13C-215	FAM13C	0
FAM13C-216	FAM13C	0
FAM13C-217	FAM13C	0
FAM13C-219	FAM13C	0
FAM149A-202	FAM149A	0.0771385
FAM160B1-202	FAM160B1	33.2299
FAM160B1-203	FAM160B1	0.42781
FAM169A-201	FAM169A	7.41662
FAM169A-203	FAM169A	0.288715
FAM20B-201	FAM20B	27.4798
FAM20B-202	FAM20B	0.41549
FAM210A-206	FAM210A	1.93526
FAM227A-201	FAM227A	2.46584
FAM227A-205	FAM227A	1.4287
